coordinate qsharp lift
215 -479333313149678403134941918675315003472318433046664653619605150624207201420785840/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
216 -319882530635520345807009377773995570346973023075797507584877163653580021907812779/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
217 319882530635520345807009377773995570346973023075797507584877163653580021907812779/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
218 -527296102217143295589359953872444334880043341002922216941526316084628342716517065/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
219 886184279674579029469187632022725290410129361507044042720297005417895793658635833/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 1
220 223610344150956011914821073423248996848841027187362007982397474061689324453438235/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
221 -144050370449092146050211499980865010069342472712398901378781762231802029194823085/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
222 -1598110004624347776937247568567706781251775592237487101593247174618543783315781429/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
223 -591853730556427518344935769845965119856897244801565444320170026898738551608182715/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
224 -196937340143972787780334593852072098082735943090087862312202801659051705757182973/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
225 -1304074858748955708088812028620622934600636460816181824565720329665228156590755197/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
226 1331477902827687584411568911996504245831307953637213945015176911816446965551531609/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
227 -495158667468640745847190857759569965272547673508750845024419468569564630229521738/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
228 -32536262581708839191531269682335215649488697614936937723429660236661444334150580/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
229 -90221011418739842568651257834920284721224183502955533606999499226480331352808847/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
230 -35455057714911599511302200293318678444203718874699471632442433808654340369983622/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
